OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
1/1/2016,10/17/2002,SO48797,385,14335,1,1,1
1/1/2016,9/30/2002,SO48802,383,24923,9,1,1
1/1/2016,11/29/2002,SO48801,326,15493,1,1,1
1/1/2016,11/16/2002,SO48799,352,26708,4,1,1
1/1/2016,12/16/2002,SO48798,369,23332,9,1,1
1/1/2016,12/2/2002,SO48800,342,15491,5,1,1
1/1/2016,10/19/2002,SO48795,375,16538,8,1,1
1/1/2016,11/23/2002,SO48796,375,15094,7,1,1
1/2/2016,12/1/2002,SO48804,356,12276,8,1,1
1/2/2016,9/12/2002,SO48814,360,13647,9,1,1
1/2/2016,10/30/2002,SO48812,356,13630,9,1,1
1/2/2016,9/15/2002,SO48803,383,19416,10,1,1
1/2/2016,11/23/2002,SO48809,369,23411,9,1,1
1/2/2016,10/27/2002,SO48807,324,20892,10,1,1
1/2/2016,10/10/2002,SO48805,330,19318,7,1,1
1/2/2016,12/11/2002,SO48808,368,16552,8,1,1
1/2/2016,10/18/2002,SO48813,362,13631,9,1,1
1/2/2016,10/22/2002,SO48810,369,23415,9,1,1
1/2/2016,11/30/2002,SO48806,340,20885,10,1,1
1/2/2016,10/6/2002,SO48811,334,15517,4,1,1
1/3/2016,9/6/2002,SO48819,352,13622,9,1,1
1/3/2016,10/29/2002,SO48817,373,26049,6,1,1
1/3/2016,12/4/2002,SO48820,358,13958,9,1,1
1/3/2016,9/10/2002,SO48815,377,17700,10,1,1
1/3/2016,10/11/2002,SO48818,332,15497,4,1,1
1/3/2016,11/15/2002,SO48821,379,23344,9,1,1
1/3/2016,12/16/2002,SO48816,356,12459,10,1,1
1/4/2016,9/15/2002,SO48827,360,26729,1,1,1
1/4/2016,10/25/2002,SO48825,373,23414,9,1,1
1/4/2016,10/2/2002,SO48829,368,23121,9,1,1
1/4/2016,12/6/2002,SO48822,379,17743,10,1,1
1/4/2016,11/30/2002,SO48824,369,23408,9,1,1
1/4/2016,10/27/2002,SO48828,369,23120,9,1,1
1/4/2016,12/13/2002,SO48823,369,16821,8,1,1
1/4/2016,9/15/2002,SO48826,369,23421,9,1,1
1/5/2016,11/2/2002,SO48835,360,21148,6,1,1
1/5/2016,12/15/2002,SO48832,373,23418,9,1,1
1/5/2016,11/1/2002,SO48831,326,20886,10,1,1
1/5/2016,9/11/2002,SO48836,360,13959,9,1,1
1/5/2016,11/3/2002,SO48834,352,26695,4,1,1
1/5/2016,11/5/2002,SO48833,373,23118,9,1,1
1/5/2016,10/24/2002,SO48830,371,17750,10,1,1
1/6/2016,9/17/2002,SO48838,373,23409,9,1,1
1/6/2016,11/19/2002,SO48837,371,23311,9,1,1
1/7/2016,12/15/2002,SO48841,381,17716,7,1,1
1/7/2016,9/9/2002,SO48845,362,13620,9,1,1
1/7/2016,11/18/2002,SO48843,324,15489,1,1,1
1/7/2016,10/26/2002,SO48839,368,16567,8,1,1
1/7/2016,10/29/2002,SO48847,383,14336,1,1,1
1/7/2016,11/12/2002,SO48844,338,15492,1,1,1
1/7/2016,10/24/2002,SO48846,360,13651,9,1,1
1/7/2016,12/14/2002,SO48840,369,17753,10,1,1
1/7/2016,10/16/2002,SO48842,352,12463,10,1,1
1/8/2016,11/24/2002,SO48855,354,13955,9,1,1
1/8/2016,11/8/2002,SO48857,342,26652,9,1,1
1/8/2016,11/30/2002,SO48852,324,15503,1,1,1
1/8/2016,10/3/2002,SO48851,354,26717,1,1,1
1/8/2016,9/17/2002,SO48853,336,15520,4,1,1
1/8/2016,12/9/2002,SO48856,358,13967,9,1,1
1/8/2016,9/24/2002,SO48849,360,28904,7,1,1
1/8/2016,9/21/2002,SO48854,354,13643,9,1,1
1/8/2016,11/29/2002,SO48850,352,29361,7,1,1
1/8/2016,9/29/2002,SO48848,383,19424,10,1,1
1/9/2016,12/4/2002,SO48862,352,26805,4,1,1
