Macrotrends Data Download

India GDP Growth Rate 1961-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Growth (%), Annual Change, 
1961-12-31,3.7227
1962-12-31,2.9311,-0.79
1963-12-31,5.9944,3.06
1964-12-31,7.453,1.46
1965-12-31,-2.6358,-10.09
1966-12-31,-0.0553,2.58
1967-12-31,7.826,7.88
1968-12-31,3.3879,-4.44
1969-12-31,6.5397,3.15
1970-12-31,5.1572,-1.38
1971-12-31,1.6429,-3.51
1972-12-31,-0.5533,-2.2
1973-12-31,3.2955,3.85
1974-12-31,1.1853,-2.11
1975-12-31,9.1499,7.96
1976-12-31,1.6631,-7.49
1977-12-31,7.2548,5.59
1978-12-31,5.7125,-1.54
1979-12-31,-5.2382,-10.95
1980-12-31,6.7358,11.97
1981-12-31,6.0062,-0.73
1982-12-31,3.4757,-2.53
1983-12-31,7.2889,3.81
1984-12-31,3.8207,-3.47
1985-12-31,5.2543,1.43
1986-12-31,4.7766,-0.48
1987-12-31,3.9654,-0.81
1988-12-31,9.6278,5.66
1989-12-31,5.9473,-3.68
1990-12-31,5.5335,-0.41
1991-12-31,1.0568,-4.48
1992-12-31,5.4824,4.43
1993-12-31,4.7508,-0.73
1994-12-31,6.6589,1.91
1995-12-31,7.5745,0.92
1996-12-31,7.5495,-0.02
1997-12-31,4.0498,-3.5
1998-12-31,6.1844,2.13
1999-12-31,8.8458,2.66
2000-12-31,3.841,-5
2001-12-31,4.824,0.98
2002-12-31,3.804,-1.02
2003-12-31,7.8604,4.06
2004-12-31,7.9229,0.06
2005-12-31,7.9234,0
2006-12-31,8.0607,0.14
2007-12-31,7.6608,-0.4
2008-12-31,3.0867,-4.57
2009-12-31,7.8619,4.78
2010-12-31,8.4976,0.64
2011-12-31,5.2413,-3.26
2012-12-31,5.4564,0.22
2013-12-31,6.3861,0.93
2014-12-31,7.4102,1.02
2015-12-31,7.9963,0.59
2016-12-31,8.2563,0.26
2017-12-31,6.7954,-1.46
2018-12-31,6.4539,-0.34
2019-12-31,3.7379,-2.72
2020-12-31,-6.5961,-10.33
2021-12-31,8.948,15.54
